Filter Keyword,WOW Job title,WOW Industry,New Job Category,New Industry Category,Final job title,Final industry,"[=COUNTIF (B:B, B1055)>1]",,,Num of unique job title,93,Num of unique industry,38
Cook,Head Cook,Food & Beverage,Cook,Restaurants & Food Service,cook,restaurants & food service,"Add additional industry category that's mutually exclusive for restaurant, cafes, and bars

Full-service restaurants, cafes, bars/pubs",,,,,,
,Pizza Cook,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,Chef Cook,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,Line Cook,Food & Beverage,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,Cook / Prep Cook,Food & Beverage,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,PM Line Cook,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,Cook,,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,Pizza and prep cook,,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,Cook I,,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,Cook I,,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,Chef / Cook,,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,Cooks,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,Breakfast Line Cook,,Cook,Restaurants & Food Service,cook,restaurants & food service,,,,,,,
,AM Prep Cook,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,unique filter keyword,unique job title,unique industry,,,,
,Kitchen Cook,Food & Beverage,Cook,Restaurants & Food Service,cook,restaurants & food service,Account,Accounting Staff,,,,,
,Full Time Pastry Cook / Baker,Food & Beverage,Cook,Restaurants & Food Service,cook,restaurants & food service,Administrative,Administrative Staff,Accounting,Summary,,,
,Pastry Cook,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,AM ,AM Worker,"Advertising, PR & Marketing",Num of unique job title,93,,
,Sushi Cook,Food & Beverage,Cook,Restaurants & Food Service,cook,restaurants & food service,Analyst,Analyst,Agriculture and Animal Care,Num of unique industry,38,,
,Sandwich Maker/Cook,Food & Beverage,Cook,Restaurants & Food Service,cook,restaurants & food service,Assistant,Assistant,Animal Services,Num of filter keyword,94,,
,Grill Cook,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,Back of House,Associate,Architecture,"Architecture only one, architectural woodwork",,,
,Line/Pizza Cook,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,Bagel,Back of House Staff,Arts & Entertainment,"Defense only one, maybe we should remove",,,
,Prep Cook,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,Baker,Bagel Helper,Automotive,"Social Assitant only one, virtual assistant",,,
,Cook / Food Truck Team Member,Food & Beverage,Cook,Restaurants & Food Service,cook,restaurants & food service,Bar,Baker,Beauty and Personal Care,"K-12 and education, grouped together",,,
,Pizza Cook/Salad Prep,Food & Beverage,Cook,Restaurants & Food Service,cook,restaurants & food service,Barista,Bar Prep,Biotech & Life Sciences,Noticing a lot of employers put industry for the job title not company,,,
,"Line cook, servers",Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,bather,Barista,Business,"Business and Finance, grouped together",,,
,Cashiers and Cooks,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,bilingual,Bartender,Construction,"https://andamirousa.com/product/avengers/ if I can label this company something else, we can get rid of electronic & computer hardware",,,
,prep cook / cold room,Restaurants & Food Service,Cook,Restaurants & Food Service,cook,restaurants & food service,brand,Bilingual,Consumer Packaged Goods,potentially remove 4 industries,,,
